Reference *;Name *;Status *
3000018070;A&P INDUSTRY INDONESIA;ENABLED
300000066;ADETEX;ENABLED
3000019373;ADITYA RIZKY VALENTINO;ENABLED
3000009799;ADITYA SARANA GRAHA;ENABLED
3000015848;AGILITY INTERNATIONAL;ENABLED
3000012865;AKBAR BUDI SAKTI;ENABLED
3000018650;ALAM SEJAHTERA;ENABLED
3000014514;ALAS GEMBOL;ENABLED
3000021131;AMAN INDAH MAKMUR;ENABLED
3000014429;ANDALAN DUNIA SEMESTA;ENABLED
3000007146;ANDHIKA  ANDALANTAMA;ENABLED
3000019366;ANDHIKA  TIRTA ABADI;ENABLED
3000015223;AQUA GOLDEN MISSISSIPPI;ENABLED
3000000470;ARGHA KARYA PRIMA INDUSTRY TBK;ENABLED
3000021303;ARINDO GARMENTAMA;ENABLED
3000018645;ARYASENA;ENABLED
3000020645;ASHERINDO DUTA PRATAMA;ENABLED
3000000615;ATLANTIC OCEAN PAINT;ENABLED
3000016841;BANUA AGUNG ANITAMA;ENABLED
3000019397;BINTANG SIDORAYA;ENABLED
3000008924;BRIDGESTONE TIRE INDONESIA;ENABLED
3000013859;BTL SANKYO GLOBAL CO.,LTD;ENABLED
3000018773;BUDIJAYA MAKMURSENTOSA;ENABLED
CMLKEBOMAS;CMLKEBOMAS;ENABLED
CMLSUKOMANUNGGAL;CMLSUKOMANUNGGAL;ENABLED
3000001294;CRYSTAL CLEAR CHEMICALS;ENABLED
3000021212;CV AMINKA KARYA LANGGENG ABADI;ENABLED
3000016162;CV MANNA ANUGERAH SEJAHTERA;ENABLED
3000009517;CV MEGA MURNI KIMIA;ENABLED
3000022026;CV. BOHLINDO TEKNIK;ENABLED
3000021113;CV. C&R ENVIRO ENGINEERING;ENABLED
3000015998;CV. KAYSAR TRANS LOGISTICS;ENABLED
3000020728;CV. MEKAR PRATAMA BAN;ENABLED
3000019455;CV. MITRA MULIA;ENABLED
3000021274;CV. NATURE AGRO SPICES;ENABLED
3000019439;CV. TIRTA AGUNG;ENABLED
3000019454;CV. WAHYU JAYA;ENABLED
3000021646;CV.DUA MARELIKA GEMILANG;ENABLED
3000020136;DAELIM CORPORATION;ENABLED
OTC2711TRD;DASRUL;ENABLED
3000018657;DIVA TRANS;ENABLED
3000015775;DOLLAR FURNITURE;ENABLED
3000018552;DYNAMIC BOILER NUSANTARA;ENABLED
3000001607;DYNAPLAST;ENABLED
3000018458;DYNIC TEXTILE PRESTIGE;ENABLED
3000009088;ECCO INDONESIA;ENABLED
3000001618;ECCO TANNERY INDONESIA;ENABLED
3000001665;ELANG PERDANA TYRE INDUSTRY;ENABLED
3000007217;ELITE INTERNATIONAL LOGISTIC (M);ENABLED
3000007219;ELITE INTERNATIONAL LOGISTICS;ENABLED
3000019022;ERWIN PRAYOGA;ENABLED
3000017658;FAR EAST LEAF INDONESIA;ENABLED
3000019715;FASTANA LOGISTIK INDONESIA;ENABLED
3000011262;FENIX FREIGHT;ENABLED
3000018153;FERTILIZER INTI TECHNOLOGY;ENABLED
3000018130;FIRST CABLE INDUSTRIES;ENABLED
3000001937;GARUDAFOOD PUTRA PUTRI JAYA TBK;ENABLED
3000018705;GCB COCOA INDONESIA;ENABLED
3000017789;GLOBAL TIGA BERLIAN;ENABLED
3000018573;GLOBAL TRANS MAJU EMPAT EMPAT;ENABLED
3000007275;GLOBE EXPRESS LOGISTICS CO.,LTD;ENABLED
3000017794;GOLD COIN TRADING INDONESIA;ENABLED
3000002037;GRAHA SERIBUSATUJAYA;ENABLED
3000016548;GRAHABERLIAN SEJATI;ENABLED
3000019399;GRAND PASIFIC PRATAMA;ENABLED
3000016749;GREENFIELDS DAIRY INDONESIA;ENABLED
3000002062;GS BATTERY;ENABLED
3000021044;GUNUNG SLAMAT;ENABLED
3000021807;GUYOVITAL;ENABLED
3000018728;HARMONI DINAMIK INDONESIA;ENABLED
3000018627;HARMONY DEKORINDO;ENABLED
3000008809;IDLE CAP;ENABLED
3000018014;IFL LOGISTICS (SHANGHAI) CO.,LTD;ENABLED
3000022013;IGUN PURWANTO;ENABLED
3000002489;INDOCIPTA WISESA;ENABLED
3000002599;INSERA SENA;ENABLED
3000019453;INTERBUANA MAKMUR;ENABLED
3000007355;INTERKRAFT;ENABLED
3000018654;INTI GLOBAL NETWORK;ENABLED
3000018768;JASA PRIMA LOGISTIK BULOG;ENABLED
3000017014;JFE SHOJI ELECTRONICS CORPORATION;ENABLED
3000018646;KANAK TRANSPORT INDONESIA;ENABLED
3000018398;KARAS INDUSTRI PAPUA;ENABLED
3000003084;KIA SERPIH MAS;ENABLED
3000017804;KINAR PROSPEK TEKNOLOGI;ENABLED
3000017669;KINO FOOD INDONESIA;ENABLED
3000017245;KOYORAD JAYA INDONESIA;ENABLED
3000017110;KREASI INDAH SELARAS;ENABLED
3000020687;LANGGENG AMANAH EXPRESS;ENABLED
8000000501;LAUTAN OTSUKA CHEMICAL;ENABLED
3000018566;LINTAS TIRTA TRANS;ENABLED
3000019392;LIVIA MANDIRI SEJATI;ENABLED
3000015651;LONGHI GROUP INTERNATIONAL;ENABLED
3000015170;MACNELS EXPRESS PRATAMA;ENABLED
3000018833;MADISON 88 LTD.;ENABLED
3000019396;MAGO PASIFIC ABADI;ENABLED
MALDAYEUHKOLOT;MALDAYEUHKOLOT;ENABLED
MALNGORO;MALNGORO;ENABLED
3000018662;MANDIRI PRATAMA KONSOLIDATOR;ENABLED
3000017469;MAQPRO BIOTECH INDONESIA;ENABLED
3000012984;MATRIKSTAMA ANDALAN MITRA;ENABLED
3000018703;MAXIMA EXPRESS PRATAMA;ENABLED
3000012975;MEDAN SUGAR INDUSTRY;ENABLED
3000003696;MEROKE TETAP JAYA;ENABLED
3000017308;METRO PEARL INDONESIA;ENABLED
3000019418;MITRA SETIA ABADI;ENABLED
3000003865;MULTI ANUGERAH LESTARI TEXINDO;ENABLED
3000018940;MULTI TERMINAL INDONESIA;ENABLED
3000019419;NHF AUTO SUPPLIES INDONESIA;ENABLED
3000008806;NIPPON INDOSARI CORPINDO, TBK;ENABLED
3000019058;OKAYA;ENABLED
3000014411;OLAK KEMANG;ENABLED
3000004138;OMYA INDONESIA;ENABLED
3000019892;OZORA MANUNGGAL FREIGHTINDO;ENABLED
3000004176;PABRIK KERTAS NOREE INDONESIA;ENABLED
3000019367;PADMATIRTA WISESA;ENABLED
3000004248;PANJI MAS TEXTILE;ENABLED
3000017569;PASARAYA INTERNATIONAL HEDONISARANA;ENABLED
3000016893;PASIFIC HARVEST;ENABLED
3000004297;PELANGI ELASINDO;ENABLED
3000020980;PEMUDA PRIMA USAHA;ENABLED
3000019328;PESONA MULTI TRANS;ENABLED
3000004421;PISMA PUTRA TEXTILE;ENABLED
3000021308;PLANTEX SEMBADA INTERNATIONAL ,PT;ENABLED
3000016115;PLANTSAFE FERTILIZER INDONESIA;ENABLED
3000018549;PRADANA KIRANA;ENABLED
3000007612;PRIMA MAS MAKMUR;ENABLED
3000021244;PRIMADANI WIBISONO;ENABLED
3000016669;PT ABC KOGEN DAIRY;ENABLED
3000016547;PT ACE LIVING CONCEPT;ENABLED
3000019596;PT ADYA MANDALA PERSADA;ENABLED
3000000215;PT AJINOMOTO INDONESIA;ENABLED
3000000217;PT AJINOMOTO SALES INDONESIA;ENABLED
3000000323;PT ANCOL TERANG METAL PRINTING;ENABLED
3000008928;PT ANUGERAH MORTAR ABADI;ENABLED
3000019640;PT AZELIS INDONESIA DISTRIBUSI;ENABLED
3000000709;PT BANK CENTRAL ASIA TBK;ENABLED
3000020454;PT BANYU MILI MITRATAMA;ENABLED
3000008794;PT BATARA ELOK SEMESTA TERPADU;ENABLED
3000000758;PT BEHN MEYER CHEMICALS;ENABLED
3000018197;PT BINA SINAR AMITY;ENABLED
3000001084;PT CAMPINA ICE CREAM INDUSTRY TBK.;ENABLED
3000012147;PT CATALITE INDONESIA;ENABLED
3000014348;PT CATUR GLOBAL LOGISTIK;ENABLED
3000021688;PT CEMARA BINTANG EXPRESS;ENABLED
3000001143;PT CHANDRA ASRI PETROCHEMICAL TBK;ENABLED
3000020508;PT CHENG HUA INDONESIA;ENABLED
8000000019;PT CIPTA MAPAN LOGISTIK;ENABLED
3000014688;PT CIPTA MORTAR UTAMA;ENABLED
3000017698;PT DAYASA ARIA PRIMA;ENABLED
3000013943;PT DSM NUTRITIONAL PRODUCT MANUFACTURING;ENABLED
3000013725;PT DWI SELO GIRIMAS;ENABLED
3000007227;PT ESSAR INDONESIA;ENABLED
3000021112;PT FAJAR INSAN NUSANTARA;ENABLED
3000016873;PT FAJAR MITRA INDAH;ENABLED
3000001989;PT GLOBAL INTERINTI INDONESIA;ENABLED
3000019751;PT GOLDEN STEP INDONESIA;ENABLED
3000002046;PT GRAND MULTI CHEMICALS;ENABLED
3000015347;PT HANKYU HANSHIN LOGISTICS INDONESIA;ENABLED
3000007314;PT HEXTAR FERTILIZER INDONESIA;ENABLED
3000018034;PT HIAS RITEL INDONESIA;ENABLED
3000018462;PT HOKKAN DELTAPACK INDUSTRY;ENABLED
3000008124;PT ILC LOGISTICS INDONESIA;ENABLED
3000002443;PT INDAH KIAT PULP & PAPER TBK.;ENABLED
3000002496;PT INDOFOOD SUKSES MAKMUR;ENABLED
3000018782;PT INDUSTRI NABATI LESTARI;ENABLED
3000020946;PT INTAN DAYA MANDIRI;ENABLED
3000019621;PT INTERCELL MITRA SANTIKA;ENABLED
3000014458;PT ITC ENEX INDONESIA;ENABLED
3000019276;PT ITO EN ULTRAJAYA WHOLESALE;ENABLED
3000002698;PT ITOCHU INDONESIA;ENABLED
3000002723;PT JADI MAS;ENABLED
3000021907;PT JASUM JAYA;ENABLED
3000010143;PT JATIM MUSTIKA SARANA STEEL;ENABLED
3000012293;PT JEBSEN JESSEN INGREDIENTS INDONESIA;ENABLED
3000022084;PT KAPIT MAS;ENABLED
3000014772;PT KING INDO;ENABLED
3000020744;PT KOYOTA INTERNASIONAL GRUP;ENABLED
3000015457;PT KREASI MAS INDAH;ENABLED
3000003242;PT LAJUPERDANA INDAH;ENABLED
3000013377;PT LAM SENG HANG RESIN;ENABLED
8000000056;PT LAUTAN NATURAL KRIMERINDO;ENABLED
8000000062;PT LAUTAN SOLUSI AIRINDO;ENABLED
8000000025;PT LAUTAN SULFAMAT LESTARI;ENABLED
8000000017;PT LIKU TELAGA;ENABLED
3000015079;PT LNX ILC INDONESIA;ENABLED
3000020650;PT LOTTE GLOBAL LOGISTICS INDONESIA;ENABLED
8000000012;PT MAHKOTA INDONESIA;ENABLED
3000020794;PT MAMAC DISTRIBUSI INDO;ENABLED
3000003579;PT MATAHARI SAKTI;ENABLED
3000020308;PT MATRA UNIKATAMA;ENABLED
3000014295;PT MECHMAR JAYA INDUSTRIES;ENABLED
3000020697;PT MITRA MULIA MAKMUR;ENABLED
3000019358;PT MULIA INTI PANGAN;ENABLED
3000012177;PT MULTI ANEKA PANGAN;ENABLED
3000003933;PT MUSIM MAS;ENABLED
3000020226;PT NITTSU LEMO INDONESIA LOGISTIK;ENABLED
3000021123;PT NUTRICIA INDONESIA SEJAHTERA;ENABLED
3000022471;PT PADI FLOUR NUSANTARA;ENABLED
3000021350;PT PCC INDONESIA;ENABLED
8000000520;PT PKG LAUTAN INDONESIA;ENABLED
3000019546;PT POLYCHEM UTAMA MAKMUR;ENABLED
3000004455;PT POLYTAMA PROPINDO;ENABLED
3000018032;PT PROPAN RAYA INDUSTRIAL COATING;ENABLED
3000004560;PT PUPUK KALIMANTAN TIMUR;ENABLED
3000007633;PT QL HASIL LAUT;ENABLED
3000014770;PT RAPIDPLAST INDONESIA;ENABLED
3000004648;PT RAPINDO PLASTAMA;ENABLED
3000017774;PT RB FOOD SUPPLY INDONESIA;ENABLED
3000004834;PT SAF  INDONUSA;ENABLED
3000007662;PT SAMSONITE INDONESIA;ENABLED
3000005193;PT SINAR MAS AGRO RESOURCES AND;ENABLED
3000005194;PT SINAR MEADOW INTERNATIONAL INDONESIA;ENABLED
3000013775;PT SINARMAS DISTRIBUSI NUSANTARA;ENABLED
3000019951;PT SKY ENERGY INDONESIA;ENABLED
3000022017;PT SMAX MAKMUR SEJAHTERA;ENABLED
3000018166;PT SOLUSI BANGUN INDONESIA TBK;ENABLED
3000007728;PT SSI PRIMA MAS;ENABLED
3000005394;PT SUENHO PERKASA;ENABLED
3000020742;PT SUKSES LINTAS PULAU;ENABLED
3000005458;PT SUMATERA KARTINDO;ENABLED
3000006580;PT SUMBER GRAHA SEJAHTERA;ENABLED
3000005546;PT SUPARMA;ENABLED
3000007757;PT SUPER WAHANA TEHNO;ENABLED
3000016980;PT SUZUYO INDONESIA;ENABLED
3000021351;PT TANI SUPPLY INDONESIA;ENABLED
8000000031;PT TARUNA BINA SARANA;ENABLED
3000005833;PT THE UNIVENUS;ENABLED
3000009257;PT TIRTA INVESTAMA;ENABLED
3000018327;PT TIRTA UTAMA ABADI;ENABLED
3000007802;PT TIRTAKENCANA TATAWARNA;ENABLED
3000018793;PT TOTAL MANDIRI SELARAS;ENABLED
3000007827;PT TRISULA MAS SAKTI;ENABLED
3000006108;PT ULTRAJAYA MILK INDUSTRY &;ENABLED
3000009294;PT UNICHEM CANDI INDONESIA;ENABLED
3000006126;PT UNILEVER INDONESIA TBK;ENABLED
3000010657;PT UNIPLASTINDO INTERBUANA;ENABLED
3000020471;PT VALSPAR INDONESIA;ENABLED
3000021348;PT VEOLIA SERVIS INDONESIA;ENABLED
3000015942;PT VICTORY RETAILINDO;ENABLED
3000006280;PT WARU GUNUNG;ENABLED
3000018751;PT WOODONE INTEGRA INDONESIA;ENABLED
3000017758;PT YOKE FOOD  INDUSTRIES INDONESIA;ENABLED
3000006457;PT YUAN FENG INDONESIA;ENABLED
3000018702;PT ZULU ALPHA PAPA;ENABLED
3000018615;PT.  INBISCO NIAGATAMA SEMESTA;ENABLED
3000022820;PT. ABLEWORKZ GLOBAL INDONESIA;ENABLED
3000020260;PT. ABM INDO LOGISTIK;ENABLED
3000018331;PT. AGUNG KUNCORO TEXTIEL INDUSTRI;ENABLED
3000000144;PT. AGUNG SEJAHTERA SIDORAHARJATEX;ENABLED
3000019703;PT. AM/NS INDONESIA;ENABLED
3000000305;PT. AMCOR FLEXIBLES INDONESIA;ENABLED
AIO;PT. AMERTA INDAH OTSUKA;ENABLED
3000007149;PT. ANEKA KAOLIN UTAMA;ENABLED
3000021761;PT. ANUGERAH MITRA ANANTA;ENABLED
3000007157;PT. ANUGRAH KERTAS UTAMA;ENABLED
3000007169;PT. ARTA BOGA CEMERLANG;ENABLED
3000019970;PT. ARTHA BUMI PRATAMA;ENABLED
3000016576;PT. ASIA PACIFIC RAYON;ENABLED
3000019887;PT. ASIA PACIFIC YARN;ENABLED
3000000566;PT. ASIA SAKTI WAHID FOODS MANUFACTURE;ENABLED
3000006787;PT. ATLAS PETROCHEM INDO;ENABLED
3000018850;PT. BAHTERA ADI JAYA;ENABLED
3000021774;PT. BERCA SPORTINDO;ENABLED
3000007936;PT. BETA SINARINDO;ENABLED
3000020754;PT. BIONIC NATURA;ENABLED
3000007943;PT. CAPREFINDO;ENABLED
3000019618;PT. CATUR PUTRAHARMONIS;ENABLED
3000021173;PT. CHEETHAM GARAM INDONESIA;ENABLED
3000020671;PT. CIPTA AGRO SAKTI;ENABLED
8000000065;PT. CIPTA LOGISTIK INDONESIA;ENABLED
3000015702;PT. CITARASA PRIMA INDONESIA BERJAYA;ENABLED
3000019478;PT. CITRA BUANA UNGGUL;ENABLED
3000013310;PT. COBRA DENTAL INDONESIA;ENABLED
3000001302;PT. CS2 POLA SEHAT;ENABLED
3000021685;PT. DAESANG AGUNG INDONESIA;ENABLED
3000001329;PT. DAN LIRIS;ENABLED
3000021694;PT. DECON MULTI INDUSTRI;ENABLED
3000020553;PT. DELTA MERLIN SANDANG TEXTILE 1;ENABLED
3000020542;PT. DELTA MERLIN SANDANG TEXTILE 3;ENABLED
3000021695;PT. DEMIX SARANA INDUSTRI INDONESIA;ENABLED
3000020670;PT. DIGITAL TRUK INDONESIA;ENABLED
3000020356;PT. DRYMIX INDONESIA;ENABLED
8000000015;PT. DUNIA KIMIA JAYA;ENABLED
3000022592;PT. DUTA SENTOSA YASA;ENABLED
3000013813;PT. EKA JAYA INTERNASIONAL;ENABLED
3000019899;PT. ELECTROLUX INDONESIA;ENABLED
3000020533;PT. ENEX TRADING INDONESIA;ENABLED
3000015742;PT. EVERBRIGHT;ENABLED
3000020661;PT. GALATTA ABADI PLASTINDO;ENABLED
3000019518;PT. GCM MARKETING SOLUTIONS INDONESIA;ENABLED
3000021245;PT. GLOBAL JASA EXPRESS;ENABLED
3000019958;PT. GOLDEN MANDIRI JAYA;ENABLED
3000002026;PT. GOODYEAR INDONESIA;ENABLED
3000020093;PT. GUNUNG MAS PERKASA ABADI;ENABLED
3000020491;PT. HARAPAN MITRA KREASI;ENABLED
3000020488;PT. HARAPAN MITRA SEJATI;ENABLED
3000002182;PT. HARDAYA INTI PLANTATIONS;ENABLED
3000020184;PT. HASA PRIMA KIMIA;ENABLED
3000002398;PT. ICI PAINTS INDONESIA;ENABLED
3000011390;PT. INDO THAI TRADING;ENABLED
3000002542;PT. INDO-RAMA SYNTHETICS TBK.;ENABLED
3000021743;PT. INDOCOOL SOLUSI CEMERLANG;ENABLED
3000015647;PT. INDOCORR PACKAGING CIKARANG;ENABLED
3000002495;PT. INDOFOOD CBP SUKSES MAKMUR TBK;ENABLED
3000020763;PT. INDOFOOD FORTUNA MAKMUR;ENABLED
3000020689;PT. INDOFOOD TSUKISHIMA SUKSES MAKMUR;ENABLED
3000012445;PT. INDOKUAT SUKSES MAKMUR;ENABLED
3000002510;PT. INDOLAKTO;ENABLED
8000000011;PT. INDONESIAN ACIDS INDUSTRY;ENABLED
3000021825;PT. INDORAMA POLYCHEM INDONESIA;ENABLED
3000002553;PT. INDOVON PITALOKA PERKASA;ENABLED
3000014327;PT. INTEC PERSADA;ENABLED
8000000030;PT. INTEGRATED LOGIXTREAM;ENABLED
3000022596;PT. INTI TUNGGAL PERSADA JAYA;ENABLED
3000012744;PT. INTRACAWOOD MANUFACTURING;ENABLED
3000022825;PT. ISUZU LOGISTICS INDONESIA;ENABLED
3000007370;PT. ITOCHU LOGISTICS INDONESIA;ENABLED
JNT;PT. JAYA NUSANTARA TRANS SEJATI;ENABLED
3000016614;PT. KAREL LOJISTIK HIZMETLERI;ENABLED
3000018981;PT. KENERTEC POWER SYSTEM;ENABLED
KPA;PT. KIRANA PURNAMA;ENABLED
8000000010;PT. LAUTAN LUAS TBK;ENABLED
LDI;PT. LINDE INDONESIA;ENABLED
3000020037;PT. MACKSONS MANDIRI INDONESIA;ENABLED
3000020256;PT. MATA PELANGI CHEMINDO;ENABLED
3000020257;PT. MATA PELANGI TRADINDO;ENABLED
3000003708;PT. METROPOLY JAYANUSA;ENABLED
3000003715;PT. MIKATASA AGUNG;ENABLED
3000003716;PT. MIKIE OLEO NABATI INDUSTRY;ENABLED
3000022075;PT. MITRA BUANA KIMIA;ENABLED
3000021320;PT. MITRA KIARA INDONESIA;ENABLED
3000021125;PT. MODENA LOGISTICS INDONESIA;ENABLED
3000019901;PT. MORA TELEMATIKA INDONESIA;ENABLED
3000019777;PT. MULTI TRANSPORTASI GLOBAL;ENABLED
3000020472;PT. NIAGA NUSA ABADI;ENABLED
3000007550;PT. NIRWANA LESTARI;ENABLED
3000022525;PT. NUSANTARA EKSPRES KILAT;ENABLED
3000019957;PT. OXYGEN INFRASTRUKTUR INDONESIA;ENABLED
8000000018;PT. PACINESIA CHEMICAL INDUSTRY;ENABLED
3000019620;PT. PANCAPERSADA MULIA;ENABLED
3000019758;PT. PANTHERA BIRU INDONESIA;ENABLED
3000020764;PT. PERTAMINA PETROCHEMICAL TRADING;ENABLED
3000004389;PT. PETROKIMIA GRESIK;ENABLED
3000004398;PT. PHAPROS TBK;ENABLED
3000016887;PT. POLY MEDITRA INDONESIA;ENABLED
3000004465;PT. PPG COATING INDONESIA;ENABLED
3000021419;PT. PRATAMA SAKTI MANDALA;ENABLED
3000010413;PT. PRIMADAYA PLASTISINDO;ENABLED
3000020798;PT. PSLOVE FEMHEALTH INDO;ENABLED
3000004561;PT. PUPUK KUJANG;ENABLED
3000021485;PT. PUPUK SRIWIDJAJA PALEMBANG;ENABLED
3000020681;PT. PUTRA ABTAR MANDIRI;ENABLED
3000014786;PT. PUTRA TARO PALOMA;ENABLED
3000019242;PT. REPUBLIC EXPRESS;ENABLED
3000019632;PT. RHENUS LOGISTICS INDONESIA;ENABLED
3000012909;PT. RIAU ANDALAN KERTAS;ENABLED
3000009396;PT. RIAU ANDALAN PULP AND PAPER;ENABLED
3000022499;PT. RICH PRODUCTS MANUFACTURING INDONESIA;ENABLED
3000011105;PT. RIMANTARA PUTRA PERSADA;ENABLED
3000017889;PT. ROCA INDUSTRIES INDONESIA;ENABLED
3000020314;PT. ROCA TRADING INDONESIA;ENABLED
3000004821;PT. RUSLI VINILON SAKTI;ENABLED
3000004855;PT. SALIM IVOMAS PRATAMA TBK.;ENABLED
3000004898;PT. SANGHIANG PERKASA;ENABLED
3000020547;PT. SAPTA SATRIA SAKTI;ENABLED
3000020778;PT. SARANA LOGISTIK INDONESIA;ENABLED
3000004966;PT. SARIHUSADA GENERASI MAHARDHIKA;ENABLED
3000021096;PT. SATRIA TRIDAYA UTAMA;ENABLED
3000005009;PT. SEBAKIS INTI LESTARI;ENABLED
3000020669;PT. SEBUKU INTI PLANTATION;ENABLED
3000015283;PT. SEJAHTERA MITRA TRISUKSES;ENABLED
3000022709;PT. SEMEN INDONESIA LOGISTIK;ENABLED
3000007695;PT. SIAM INDO GYPSUM INDUSTRY;ENABLED
3000005166;PT. SINAR DAKU;ENABLED
3000019859;PT. SINAR PEMATANG MULIA;ENABLED
3000005216;PT. SINAR SOSRO;ENABLED
3000018347;PT. SINARMAS BIO ENERGY;ENABLED
3000022811;PT. SMI MESIN INDONESIA;ENABLED
3000005279;PT. SO GOOD FOOD;ENABLED
3000015677;PT. SOFTEX INDONESIA;ENABLED
3000021708;PT. SUBAFOOD PANGAN JAYA;ENABLED
SBJ;PT. SUMBER BUANA JAYA;ENABLED
SBG;PT. SUNGAI BUDI;ENABLED
3000016889;PT. TARA PETINDO BERDIKARI;ENABLED
3000019921;PT. THREE MAKMUR RAJA;ENABLED
3000020660;PT. TIBEKA LOGISTIK INDONESIA;ENABLED
3000018515;PT. TOSA RODA PRATAMA;ENABLED
3000013259;PT. TRANS TRIJAYA SAMUDERA;ENABLED
3000021055;PT. TRI BHAKTI;ENABLED
3000021122;PT. TRI PUTRA MANDIRI;ENABLED
3000014595;PT. TRISAKTI MUSTIKA GRAPHIKA;ENABLED
3000021121;PT. TUMBAKMAS NIAGASAKTI;ENABLED
3000015715;PT. UNGARAN SARI GARMENTS;ENABLED
8000000525;PT. UNGGUL INDAH CAHAYA TBK;ENABLED
3000006166;PT. UNZA VITALIS;ENABLED
3000018860;PT. UWU JUMP INDONESIA;ENABLED
3000014277;PT. WAH LEE INDONESIA;ENABLED
3000022127;PT. WENSON TATA DAYA;ENABLED
3000022543;PT. WIJAYA KARYA BETON TBK;ENABLED
3000020903;PT. YONGWANG ELECTRONICS INDONESIA;ENABLED
3000022029;PT.ARTHAWENASAKTI GEMILANG;ENABLED
3000001105;PT.CATUR MITRA SEJATI SENTOSA;ENABLED
3000021048;PT.CHANDRA TRANSPORT NUSANTARA;ENABLED
3000013037;PT.INDONESIA PRATAMA MULTIPACK;ENABLED
8000000526;PT.LUMAS JAYA INDUSTRY;ENABLED
3000019895;PT.WAHANA FORTUNA PRATAMA;ENABLED
3000019398;PUTRA DEWATA SEJATI;ENABLED
3000019492;PUTRA SEJATI YUDI;ENABLED
3000011817;ROLIMEX KIMIA NUSAMAS;ENABLED
3000018542;SAM JUNG INDONESIA;ENABLED
3000012218;SANKYO;ENABLED
3000020060;SARI SARANA KIMIA;ENABLED
3000019386;SATRIA WICAKSANA SEJATI;ENABLED
3000018601;SCG BARITO LOGISTICS;ENABLED
3000007677;SCIENTEX INDONESIA;ENABLED
3000018742;SEMEN INDONESIA;ENABLED
3000018696;SEMEN JAWA;ENABLED
3000018998;SHANGHAI LANSEN INTERNATIONAL LOGISTICS CO LTD;ENABLED
3000005135;SIKA INDONESIA;ENABLED
3000005191;SINAR MAJALAYA LESTARI;ENABLED
3000019117;SINERGI LINTAS NUSANTARA;ENABLED
3000007712;SKYLINE JAYA;ENABLED
3000016085;SMART LINK CO.,ID;ENABLED
3000020061;SOLUSI SURYA SISTEMA;ENABLED
3000018648;STAR COMGISTIC INDONESIA;ENABLED
3000012573;SURYA LANGGENG INDONESIA;ENABLED
3000005683;SUZUKI INDOMOBIL MOTOR;ENABLED
3000018580;TANJAYA SUKSES ABADI;ENABLED
3000021153;THE O ARTHA BRATA;ENABLED
3000005845;TIGA MANUNGGAL SYNTHETIC;ENABLED
3000005848;TIGA PILAR SEJAHTERA;ENABLED
3000019652;TIRTA MAKMUR SANTOSA;ENABLED
3000015441;TIRTA SIBAYAKINDO;ENABLED
3000020535;TJENDRAWASIH INDONESIA UTAMA;ENABLED
3000019329;TUDER KAPUR BUMI INDONESIA;ENABLED
3000016892;UNIVERSAL STEELINDO DINAMIKA;ENABLED
3000019989;WARUNG PINTAR DISTRIBUSI;ENABLED
3000021116;WATUSALAM TEXTILE;ENABLED
3000019420;WELONG JAYA;ENABLED
3000008984;YARA INDONESIA;ENABLED
3000021448;ZTT ADP SUPPLY CHAIN MANAGEMENT CO., LTD;ENABLED