No;Customer Name;;
1;PT SANTOS JAYA ABADI;;
2;PT SIANTAR TOP TBK;;
3;PT KASMAJI INTI UTAMA;;
4;PT UNGGUL INDAH JAYA;;
5;PT BRANTAS MULIA;;
6;PT MITRA SARUTA INDONESIA;;
7;PT BINTANG TERANG ABADI RAYA;;
8;CV PANGAN BERKAH SENTOSA;;
9;PT ELODA MITRA;;
10;PT SUMBER DJAJA PERKASA;;
11;PT SURYA ZIG ZAG;;
12;PT SREEYA SEWU INDONESIA TBK;;
13;PT BERKAT MAKMUR SEJAHTERA ABADI;;
14;PT SUN PAPER SOURCE;;
15;PT EXPLOITASI PERINDUSTRIAN GAWEREDJO;;
16;PT PIM PHARMACEUTICALS;;
17;PT SUMBER SARI KIMIA;;
18;PT INTIMAS PRIMA PERKASA;;
19;PT HEINZ ABC INDONESIA;;
20;PT MITRAPAK ERAMANDIRI;;
21;PT TUDUNG PUTRA PUTRI JAYA;;
22;PT CENTRAM;;
23;CV SUNRISE CHEMICAL;;
24;PT CARGILL INDONESIA;;
25;PT CHEIL JEDANG INDONESIA;;
26;PT NITAMA;;
27;PT SURYA PERTIWI NUSANTARA;;
28;HARTONO;;
29;PT SEKAR LAUT;;
30;PT UNITED FARMATIC INDONESIA;;
31;PT UNGGUL INDAH JAYA;;
32;PT TJIWI KIMIA;;
33;PT JASUINDO TIGA PERKASA TBK;;
34;ERICKO HERMAWAN;;
35;PT KELOLA MINA LAUT;;
36;CV ESTHERIA COSMETIK;;
37;PT PERKASA SENTOSA LESTARI;;
38;PT MASPION;;
39;PT YULIAS SHINTA INDONESIA;;
40;PT SIANTAR MADJU;;
41;CV PANGAN BERKAH SENTOSA;;
42;DRAGON BERJAYA;;
43;CV SUMBER AGUNG;;
44;PT CITA RASA SUKSES;;
45;PT JAPFA COMFEED INDONESIA TBK;;
46;PT MULTI ANUGERAH LESTARI TEXINDO;;
47;PT WARU GUNUNG;;
48;PT KITOSINDO INTERNATIONAL BIOTECH;;
49;PT IKAN KAKAP;;
50;PT LIKU TELAGA;;
51;CV MEROKE TETAP JAYA;;
52;PT EXPLOITASI PERINDUSTRIAN GAWEREDJO;;
53;PT QINGDA MASPION PAPER PRODUTCS;;
54;CV INDOPERTAMA;;
55;PT WONOKOYO JAYA CORPORINDO;;
56;PT PANCAMAS ELITE;;
57;PT DSM NUTRITIONAL PRODUCTS;;
58;PT UNIMOS;;
59;GO SIAUW LIONG;;
60;PT RU-YUAN MAHAKARYA;;
61;PT MULTI PAKAN JAYA SENTOSA;;
62;PT CHAROEN POKPHAND INDONESIA;;
63;PT UNTUNG BERSAMA SEJAHTERA;;
64;PT HUNG SHENG KREASINDO GRAVURE;;
65;PT MEGA SURYA ERATAMA;;
66;PT BUDI JAYA AMENITIES;;
67;PT SEKAWAN KOSMETIK WASANTARA;;
68;PT TJAKRINDO MAS;;
69;PT CJ FEED AND CARE INDONESIA;;
70;PT LIMANJAYA ANUGRAH;;
71;PETROKIMIA GRESIK;;
72;TRIAS WARU;;
73;PT ADIPRIMA SURAPRINTA;;
74;PT INDOLAKTO;;
75;PT ERATEX DJAJA;;
76;LIU SIONG DJUNG;;
77;PT NYLEX;;
78;PT CJ FEED JOMBANG;;
79;PT TROUW NUTRITION;;
80;PT GREENFIELDS INDONESIA;;