Billing Summary ID;Invoice Number;Order Type;Ap No;arNo;Billing From Date;Trace ID;Pallet Type;Tariff ID;Warehouse ID;Customer ID;Bill TO;Paid TO;SKU;LOTNUM;Location Category;Charge Category;Charge Type;Descr;Rate Base;Charge Per Units;QTY;UOM;Cubic;Weight;Charge Rate;Billing Amount;Amount;Cost;Amount Payable;Amount Paid;DOC Type;DOCNO;Kit Sku;DOC Reference1;Material Code;Item Category;Division Code;Notes;Confirm Who;Confirm Time;Settle Who;Settle Time;Follow Up
SP01378;SMM000003;;*;0000000003;2022-07-20;;;BIL00165;SBYMM;LTL SBY;LTL SBY;;;;;Fix Charge;Storage;Storage;Monthly Rate;;;;;;215000000;215000000;215000000;0;;;;;;;1700000045;X;62;;;;;;
SP00794;SMM000002;;*;0000000002;2022-06-20;;;BIL00165;SBYMM;LTL SBY;LTL SBY;;;;;Fix Charge;Storage;Storage;Monthly Rate;;;;;;215000000;215000000;215000000;0;;;;;;;1700000045;X;62;;;;;;
SP00259;SMM000001;;*;0000000001;2022-05-25;;;BIL00165;SBYMM;LTL SBY;LTL SBY;;;;;Fix Charge;Storage;Storage;Monthly Rate;;;;;;212000000;212000000;212000000;0;;;;;;;1700000045;X;62;;;;;;
INV000021*01;;CROSS;*;*;2022-03-10;2203100119;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013406;0204692;;Handling In;Handling In Charges;Handling In Charges;PALLET;1;1000;EA;0;0;25000;25000;25000;0;0;0;ASN;S000000003;;4902637051;1700000045;X;62;;;;;;
INV000020*01;;CROSS;*;*;2022-03-10;2203100113;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling In;Handling In Charges;Handling In Charges;PALLET;1;2000;EA;0;0;25000;50000;50000;0;0;0;ASN;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000019*01;;CROSS;*;*;2022-03-10;2203100112;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling In;Handling In Charges;Handling In Charges;PALLET;1;1000;EA;0;0;25000;25000;25000;0;0;0;ASN;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000018*01;;CROSS;*;*;2022-03-10;2203100111;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling In;Handling In Charges;Handling In Charges;PALLET;1;1000;EA;0;0;25000;25000;25000;0;0;0;ASN;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000017*01;;CROSS;*;*;2022-03-10;2203100110;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling In;Handling In Charges;Handling In Charges;PALLET;1;1000;EA;0;0;25000;25000;25000;0;0;0;ASN;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000016*01;;CROSS;*;*;2022-03-10;2203100109;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling In;Handling In Charges;Handling In Charges;PALLET;1;1000;EA;0;0;25000;25000;25000;0;0;0;ASN;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000015*01;;CROSS;*;*;2022-03-09;2203090093;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204054;;Handling In;Handling In Charges;Handling In Charges;PALLET;1;3000;EA;0;0;25000;75000;75000;0;0;0;ASN;S000000001;;4902636467;1700000045;X;62;;;;;;
INV000014*01;;CROSS;*;*;2022-03-10;2203100128;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013406;0204692;;Handling Out;Handling Out Special;Handling Out Special;PALLET;1;1000;EA;0;0;25000;25000;25000;0;0;0;SO;S000000003;;4902637051;1700000045;X;62;;;;;;
INV000013*01;;CROSS;*;*;2022-03-10;2203100129;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling Out;Handling Out Special;Handling Out Special;PALLET;1;1000;EA;0;0;25000;25000;25000;0;0;0;SO;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000013*01;;CROSS;*;*;2022-03-10;2203100129;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling Out;Handling Out Special;Handling Out Special;PALLET;1;1000;EA;0;0;25000;25000;25000;0;0;0;SO;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000013*01;;CROSS;*;*;2022-03-10;2203100129;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling Out;Handling Out Special;Handling Out Special;PALLET;1;1000;EA;0;0;25000;25000;25000;0;0;0;SO;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000013*01;;CROSS;*;*;2022-03-10;2203100129;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling Out;Handling Out Special;Handling Out Special;PALLET;1;1000;EA;0;0;25000;25000;25000;0;0;0;SO;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000013*01;;CROSS;*;*;2022-03-10;2203100129;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling Out;Handling Out Special;Handling Out Special;PALLET;1;1000;EA;0;0;25000;25000;25000;0;0;0;SO;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000012*01;;CROSS;*;*;2022-03-10;2203100129;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling Out;Handling Out Special;Handling Out Special;PALLET;1;1000;EA;0;0;25000;25000;25000;0;0;0;SO;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000012*01;;CROSS;*;*;2022-03-10;2203100129;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling Out;Handling Out Special;Handling Out Special;PALLET;1;1000;EA;0;0;25000;25000;25000;0;0;0;SO;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000012*01;;CROSS;*;*;2022-03-10;2203100129;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling Out;Handling Out Special;Handling Out Special;PALLET;1;1000;EA;0;0;25000;25000;25000;0;0;0;SO;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000012*01;;CROSS;*;*;2022-03-10;2203100129;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling Out;Handling Out Special;Handling Out Special;PALLET;1;1000;EA;0;0;25000;25000;25000;0;0;0;SO;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000012*01;;CROSS;*;*;2022-03-10;2203100129;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling Out;Handling Out Special;Handling Out Special;PALLET;1;1000;EA;0;0;25000;25000;25000;0;0;0;SO;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000011*01;;CROSS;*;*;2022-03-10;2203100129;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling Out;Handling Out Special;Handling Out Special;PALLET;1;1000;EA;0;0;25000;25000;25000;0;0;0;SO;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000011*01;;CROSS;*;*;2022-03-10;2203100129;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling Out;Handling Out Special;Handling Out Special;PALLET;1;1000;EA;0;0;25000;25000;25000;0;0;0;SO;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000011*01;;CROSS;*;*;2022-03-10;2203100129;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling Out;Handling Out Special;Handling Out Special;PALLET;1;1000;EA;0;0;25000;25000;25000;0;0;0;SO;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000011*01;;CROSS;*;*;2022-03-10;2203100129;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling Out;Handling Out Special;Handling Out Special;PALLET;1;1000;EA;0;0;25000;25000;25000;0;0;0;SO;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000011*01;;CROSS;*;*;2022-03-10;2203100129;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling Out;Handling Out Special;Handling Out Special;PALLET;1;1000;EA;0;0;25000;25000;25000;0;0;0;SO;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000010*01;;CROSS;*;*;2022-03-10;2203100129;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling Out;Handling Out Special;Handling Out Special;PALLET;1;1000;EA;0;0;25000;25000;25000;0;0;0;SO;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000010*01;;CROSS;*;*;2022-03-10;2203100129;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling Out;Handling Out Special;Handling Out Special;PALLET;1;1000;EA;0;0;25000;25000;25000;0;0;0;SO;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000010*01;;CROSS;*;*;2022-03-10;2203100129;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling Out;Handling Out Special;Handling Out Special;PALLET;1;1000;EA;0;0;25000;25000;25000;0;0;0;SO;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000010*01;;CROSS;*;*;2022-03-10;2203100129;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling Out;Handling Out Special;Handling Out Special;PALLET;1;1000;EA;0;0;25000;25000;25000;0;0;0;SO;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000010*01;;CROSS;*;*;2022-03-10;2203100129;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling Out;Handling Out Special;Handling Out Special;PALLET;1;1000;EA;0;0;25000;25000;25000;0;0;0;SO;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000009*01;;CROSS;*;*;2022-03-10;2203100129;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling Out;Handling Out Special;Handling Out Special;PALLET;1;2000;EA;0;0;25000;25000;25000;0;0;0;SO;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000009*01;;CROSS;*;*;2022-03-10;2203100129;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling Out;Handling Out Special;Handling Out Special;PALLET;1;2000;EA;0;0;25000;25000;25000;0;0;0;SO;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000009*01;;CROSS;*;*;2022-03-10;2203100129;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling Out;Handling Out Special;Handling Out Special;PALLET;1;2000;EA;0;0;25000;25000;25000;0;0;0;SO;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000009*01;;CROSS;*;*;2022-03-10;2203100129;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling Out;Handling Out Special;Handling Out Special;PALLET;1;2000;EA;0;0;25000;25000;25000;0;0;0;SO;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000009*01;;CROSS;*;*;2022-03-10;2203100129;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling Out;Handling Out Special;Handling Out Special;PALLET;1;2000;EA;0;0;25000;25000;25000;0;0;0;SO;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000002*01;;CROSS;*;*;2022-03-09;2203090096;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204054;;Handling Out;Handling Out Special;Handling Out Special;PALLET;1;3000;EA;0;0;25000;25000;25000;0;0;0;SO;S000000001;;4902636467;1700000045;X;62;;;;;;
