RG;CLUSTER;LTPOD
ADPSALE REMBANG-ADPKOSAMBI;JABODETABEK;6
ADSDENPASAR TIMUR-ADSCAKRANEGARA;BALI;5
ADSDENPASAR TIMUR-ADSCAKRANEGARA;BALI;5
ADSDENPASAR TIMUR-ADSCAKRANEGARA;BALI;5
ADSDENPASAR TIMUR-ADSCAKRANEGARA;BALI;5
ADSDENPASAR TIMUR-ADSCAKRANEGARA;BALI;5
ADSDENPASAR TIMUR-ADSKUTA;BALI;5
ADSSIDOARJO-ADSAJUNG;JAWA TIMUR;3
ADSSIDOARJO-ADSAJUNG;JAWA TIMUR;3
ADSSIDOARJO-ADSAJUNG;JAWA TIMUR;3
ADSSIDOARJO-ADSBENOWO;KOTA SURABAYA;2
ADSSIDOARJO-ADSBENOWO;KOTA SURABAYA;2
ADSSIDOARJO-ADSBENOWO;KOTA SURABAYA;2
ADSSIDOARJO-ADSBENOWO;KOTA SURABAYA;2
ADSSIDOARJO-ADSBLIMBING;JAWA TIMUR;3
ADSSIDOARJO-ADSBLIMBING;JAWA TIMUR;3
ADSSIDOARJO-ADSWONOKROMO;KOTA SURABAYA;2
AIDASEMROWO(1P)-AIDPRINGAPUS;;
AIDASEMROWO(PP)-AIDPRINGAPUS;JAWA TENGAH;5
AIDASEMROWO-AIDGRESIK;;3
AIDASEMROWO-AIDPRINGAPUS;;5
AIDDRIYOREJO-AIDASEMROWO;KOTA SURABAYA;2
AJIJETIS(1P)-AJINGALIYAN;JAWA TENGAH;5
AJIJETIS(1P)-AJISEWON;JAWA TENGAH;5
AJIJETIS(PP)-AJINGALIYAN;JAWA TENGAH;5
AJIJETIS(PP)-AJISEWON;JAWA TENGAH;5
AJIJETIS-AJIBALEENDAH;JAWA BARAT;6
AJIJETIS-AJIBUNGURSARI TASIKMALAYA;JAWA BARAT;6
AJIJETIS-AJICANDI;KOTA SURABAYA;2
AJIJETIS-AJIDENPASAR UTARA;BALI;5
AJIJETIS-AJIJATIROGO;JAWA TIMUR;3
AJIJETIS-AJIJATIROGO;JAWA TIMUR;3
AJIJETIS-AJIKADEMANGAN PROBOLINGGO;JAWA TENGAH;5
AJIJETIS-AJIKENJERAN;JAWA TIMUR;3
AJIJETIS-AJIKENJERAN;JAWA TIMUR;3
AJIJETIS-AJIKLOJEN;JAWA TIMUR;3
AJIJETIS-AJIKOTA KEDIRI;JAWA TIMUR;3
AJIJETIS-AJIKOTA KEDIRI;JAWA TIMUR;3
AJIJETIS-AJIKRATON;JAWA TENGAH;5
AJIJETIS-AJIKRATON;JAWA TENGAH;5
AJIJETIS-AJIKRATON;JAWA TENGAH;5
AJIJETIS-AJILABUAPI;NTB;6
AJIJETIS-AJINGALIYAN;JAWA TENGAH;5
AJIJETIS-AJIPANGGUNGREJO;JAWA TIMUR;3
AJIJETIS-AJIPANGGUNGREJO;KOTA SURABAYA;2
AJIJETIS-AJIPURWOKERTO SELATAN;JAWA TENGAH;5
AJIJETIS-AJIRUNGKUT;JAWA TIMUR;3
AJIJETIS-AJISEWON BANTUL;JAWA TENGAH;5
AJIJETIS-AJISINGOSARI(SAT);JAWA TIMUR;3
AJIJETIS-AJITALUN CIREBON;JAWA BARAT;6
AJIJETIS-AJITUBAN;JAWA TIMUR;3
AKLKEBOMAS-AKLJAWILAN;BANTEN;5
ALSPANDAAN-ALSCIKARANG UTARA;JABODETABEK;6
AMABLIMBING-AMASIDOARJO;JAWA TIMUR;3
AMASIDOARJO-AMADRIYOREJO;JAWA TIMUR;3
AMASIDOARJO-AMAJENU TUBAN;JAWA TIMUR;3
AMASIDOARJO-AMAJOMBANG;JAWA TIMUR;3
AMASIDOARJO-AMAKEDUNGWARU;KOTA SURABAYA;2
AMASIDOARJO-AMAKRIAN;KOTA SURABAYA;2
AMASIDOARJO-AMAMAOSPATI;JAWA TIMUR;3
AMASIDOARJO-AMANGAWI;JAWA TIMUR;3
AMASIDOARJO-AMANGORO;JAWA TIMUR;3
AMASIDOARJO-AMAPATRANG;JAWA TIMUR;3
AMASIDOARJO-AMASUKODONO;KOTA SURABAYA;2
AMASIDOARJO-AMATAMAN;KOTA SURABAYA;2
AMASIDOARJO-AMAWARU;KOTA SURABAYA;2
AMASIDOARJO-AMAWIYUNG;KOTA SURABAYA;2
AMPASEMROWO-AMPJATEN;JAWA TENGAH;5
AMPGRESIK-AMPASEMROWO;KOTA SURABAYA;2
AMPGRESIK-AMPPAKIS MALANG;JAWA TIMUR;3
ANAJENU TUBAN-ANASIDOARJO(BL);JAWA TIMUR;3
ANASIDOARJO(PP)-ANAKEBUMEN;JAWA TENGAH;5
ANASIDOARJO(PP)-ANASAMBIREJO SRAGEN;JAWA TENGAH;5
ANASIDOARJO-ANAASEMROWO;KOTA SURABAYA;2
ANASIDOARJO-ANABLIMBING;JAWA TIMUR;3
ANASIDOARJO-ANADRIYOREJO;JAWA TIMUR;3
ANASIDOARJO-ANADUKUH PAKIS;KOTA SURABAYA;2
ANASIDOARJO-ANAGENTENG SURABAYA;KOTA SURABAYA;2
ANASIDOARJO-ANAJETIS;JAWA TIMUR;3
ANASIDOARJO-ANAJIWAN MADIUN;JAWA TIMUR;3
ANASIDOARJO-ANAKABUH;JAWA TIMUR;3
ANASIDOARJO-ANAKALIPURO;JAWA TIMUR;3
ANASIDOARJO-ANAKEDUNGWARU;JAWA TIMUR;3
ANASIDOARJO-ANAKRAKSAAN;JAWA TIMUR;3
ANASIDOARJO-ANAKRIAN;KOTA SURABAYA;2
ANASIDOARJO-ANALAWANG MALANG;JAWA TIMUR;3
ANASIDOARJO-ANANGASEM BOJONEGORO;JAWA TIMUR;3
ANASIDOARJO-ANANGASEM KEDIRI;JAWA TIMUR;3
ANASIDOARJO-ANANGAWI;JAWA TIMUR;3
ANASIDOARJO-ANANGORO;JAWA TIMUR;3
ANASIDOARJO-ANAPACITAN;JAWA TIMUR;3
ANASIDOARJO-ANAPATRANG;JAWA TIMUR;3
ANASIDOARJO-ANARUNGKUT;KOTA SURABAYA;2
ANASIDOARJO-ANASAMBIKEREP;KOTA SURABAYA;2
ANASIDOARJO-ANASOKO TUBAN;JAWA TIMUR;3
ANASIDOARJO-ANASUKOMORO MAGETAN;JAWA TIMUR;3
ANASIDOARJO-ANASUMBERSARI;JAWA TIMUR;3
ANASIDOARJO-ANATAMAN;KOTA SURABAYA;2
ANASIDOARJO-ANAWARU;KOTA SURABAYA;2
ANASIDOARJO-ANAWIDODAREN;JAWA TIMUR;3
AOIJETIS-AOIRUNGKUT;JAWA TIMUR;3
AOIJETIS-AOITEGALSARI;JAWA TIMUR;3
AOPMENGANTI-AOPCIKANDE;JABODETABEK;6
ARVBENOWO-ARVKRAMAT TEGAL(MD1);JAWA TENGAH;5
ARVDENPASAR TIMUR-ARVASEMROWO(BL);BALI;5
ARVDENPASAR TIMUR-ARVCIKARANG BARAT(BL);JABODETABEK;6
ARVLAKARSANTRI-ARVKUTA UTARA;BALI;5
ARVPLOSO JOMBANG-ARVCIKAMPEK;JAWA BARAT;6
ARVRUNGKUT-ARVCAKUNG;JABODETABEK;6
ARVSEDATI-ARVTANJUNG PRIOK;JABODETABEK;6
ARVTAMAN-ARVCIBADAK SUKABUMI;JAWA BARAT;6
ARVTAMAN-ARVPLUMBON;JAWA BARAT;6
ARVTAMAN-ARVUJUNG BERUNG;BANTEN;5
ARVWARU-ARVCAKUNG;JABODETABEK;6
ASIKEBOMAS-ASIBANGIL;KOTA SURABAYA;2
ASIKEBOMAS-ASIBEJI;KOTA SURABAYA;2
ASIKEBOMAS-ASIGEMPOL;KOTA SURABAYA;2
ASIKEBOMAS-ASIKEDUNGKANDANG;KOTA SURABAYA;2
ASIKEBOMAS-ASILAWANG;KOTA SURABAYA;2
ASIKEBOMAS-ASIPANDAAN;KOTA SURABAYA;2
ASIKEBOMAS-ASIPANGGUNGREJO;KOTA SURABAYA;2
ASIKEBOMAS-ASIPURWODADI;KOTA SURABAYA;2
ASIKEBOMAS-ASIPURWOSARI;KOTA SURABAYA;2
ASIKEBOMAS-ASIREMBANG;KOTA SURABAYA;2
AUFNGAJUM-AUFBALARAJA;BANTEN;5
AUFNGAJUM-AUFBANTARGEBANG;JABODETABEK;6
AUFNGAJUM-AUFBOGOR UTARA;JABODETABEK;6
AUFNGAJUM-AUFCAKUNG;JABODETABEK;6
AUFNGAJUM-AUFCAKUNG;JABODETABEK;6
AUFNGAJUM-AUFCAKUNG;JABODETABEK;6
AUFNGAJUM-AUFCIKARANG BARAT;JABODETABEK;6
AUFNGAJUM-AUFCIPARAY;JAWA BARAT;6
AUFNGAJUM-AUFHARJAMUKTI;JAWA BARAT;6
AUFNGAJUM-AUFPABEAN CANTIAN;KOTA SURABAYA;2
AUFNGAJUM-AUFPENJARINGAN;JABODETABEK;6
AUFNGAJUM-AUFPORONG;JAWA TIMUR;3
AUFNGAJUM-AUFSERANG;BANTEN;5
AUFNGAJUM-AUFSUKARAJA;JAWA BARAT;6
AUFNGAJUM-AUFTANGERANG;JABODETABEK;6
AUFNGAJUM-AUFTUGU;JAWA TENGAH;5
BAJNGALIYAN-BAJCIMANGGUNG(BL);JAWA BARAT;6
BESMANYAR-BESBEJI PASURUAN;JAWA TIMUR;3
BESMANYAR-BESDUDUK SAMPEYAN;JAWA TIMUR;3
BESMANYAR-BESGEDANGAN;JAWA TIMUR;3
BESMANYAR-BESMAGERSARI;KOTA SURABAYA;2
BESMANYAR-BESSINGOSARI;JAWA TIMUR;3
BESMANYAR-BESWARU;JAWA TIMUR;3
BHMNGORO-BHMSIDOARJO;KOTA SURABAYA;2
BHMSIDOARJO-BHMASEMROWO;JAWA TIMUR;3
BHMSIDOARJO-BHMASEMROWO;KOTA SURABAYA;2
BHMSIDOARJO-BHMBERGAS;JAWA TENGAH;5
BHMSIDOARJO-BHMBERGAS;JAWA TENGAH;5
BHMSIDOARJO-BHMDRIYOREJO;KOTA SURABAYA;2
BHMSIDOARJO-BHMGEMPOL;KOTA SURABAYA;2
BHMSIDOARJO-BHMGEMPOL;KOTA SURABAYA;2
BHMSIDOARJO-BHMGRESIK;JAWA TIMUR;3
BHMSIDOARJO-BHMKRIAN;KOTA SURABAYA;2
BHMSIDOARJO-BHMKRIAN;KOTA SURABAYA;2
BHMSIDOARJO-BHMNGALIYAN;JAWA TENGAH;5
BHMSIDOARJO-BHMPABEAN CANTIAN;KOTA SURABAYA;2
BHMSIDOARJO-BHMPATI;JAWA TENGAH;5
BHMSIDOARJO-BHMSIDOHARJO;JAWA TENGAH;5
BHMSIDOARJO-BHMTAMAN SIDOARJO;KOTA SURABAYA;2
BHMSIDOARJO-BHMTANGERANG;JABODETABEK;6
BHMSIDOARJO-BHMTANGERANG;JABODETABEK;6
BHMSIDOARJO-BHMWARU;KOTA SURABAYA;2
BHMSIDOARJO-BHMWRINGINANOM;KOTA SURABAYA;2
BPRBANJARNEGARA-BPRSURABAYA(EMPTY);MOB KOSONGAN;2
BPRBANTUL/YOGYAKARTA-BPRSURABAYA(EMPTY);MOB KOSONG;2
BPRBANYUMAS-BPRSURABAYA(EMPTY);MOB KOSONG;2
BPRBATANG-BPRSURABAYA(EMPTY);MOB KOSONG;2
BPRBLORA-BPRSURABAYA(EMPTY);MOB KOSONG;2
BPRJAKARTA(EMPTY)-BPRSURABAYA(EMPTY);MOB KOSONG;2
BPRJEPARA-BPRSURABAYA(EMPTY);MOB KOSONG;2
BPRKLATEN-BPRSURABAYA(EMPTY);MOB KOSONG;2
BPRMAGELANG-BPRSURABAYA(EMPTY);MOB KOSONG;2
BPRPATI-BPRSURABAYA(EMPTY);MOB KOSONG;2
BPRPEKALONGAN-BPRSURABAYA(EMPTY);MOB KOSONG;2
BPRPEMALANG-BPRSURABAYA(EMPTY);MOB KOSONG;2
BPRPURWOKERTO-BPRSURABAYA(EMPTY);MOB KOSONG;2
BPRPURWOREJO-BPRSURABAYA(EMPTY);MOB KOSONG;2
BPRREMBANG-BPRSURABAYA(EMPTY);MOB KOSONG;2
BPRSEMARANG-BPRSURABAYA(EMPTY);MOB KOSONG;2
BPRSOLO-BPRSURABAYA(EMPTY);MOB KOSONG;2
BPRSUKOHARJO-BPRSURABAYA(EMPTY);MOB KOSONG;2
BPRSURABAYA(EMPTY)-BPRJAKARTA(EMPTY);MOB KOSONG;2
BPRSURAKARTA-BPRSURABAYA(EMPTY);MOB KOSONG;2
BPRTEGAL-BPRSURABAYA(EMPTY);MOB KOSONG;2
BPRTEGAL-BPRSURABAYA(EMPTY);MOB KOSONG;2
BPRYOGYAKARTA-BPRSURABAYA(EMPTY);MOB KOSONG;2
CBENGANJUK-CBEPENJARINGAN;JABODETABEK;6
CLIBENOWO-CLIKEBOMAS;JAWA TIMUR;3
CLIBUBUTAN-CLIKEBOMAS;JAWA TIMUR;3
CLIKEBOMAS-CLIBUDURAN(SENIN);KOTA SURABAYA;2
CLIKEBOMAS-CLIGEDANGAN(JUMAT);KOTA SURABAYA;2
CLIKEBOMAS-CLIKEBOMAS;JAWA TIMUR;3
CLIKEBOMAS-CLIKLOJEN(SELASA);JAWA TIMUR;3
CLIKEBOMAS-CLIMOJOSARI(KAMIS);JAWA TIMUR;3
CLIKEBOMAS-CLITENGGILIS MEJOYO(RABU);KOTA SURABAYA;2
CMXASEMROWO-CMXABIANSEMAL;BALI;5
CMXBENOWO-CMXBATUJAJAR;JAWA BARAT;6
CMXBENOWO-CMXBATUJAJAR;JAWA BARAT;6
CMXBENOWO-CMXBATUJAJAR;JAWA BARAT;6
CMXBENOWO-CMXBATUJAJAR;JAWA BARAT;6
CMXBENOWO-CMXBEJI;JABODETABEK;6
CMXBENOWO-CMXBEJI;JABODETABEK;6
CMXBENOWO-CMXBEJI PASURUAN;KOTA SURABAYA;2
CMXBENOWO-CMXBEJI PASURUAN;KOTA SURABAYA;2
CMXBENOWO-CMXBEJI PASURUAN;KOTA SURABAYA;2
CMXBENOWO-CMXBEJI PASURUAN;KOTA SURABAYA;2
CMXBENOWO-CMXBENOWO;KOTA SURABAYA;2
CMXBENOWO-CMXBENOWO;KOTA SURABAYA;2
CMXBENOWO-CMXBENOWO;KOTA SURABAYA;2
CMXBENOWO-CMXBENOWO;JAWA TIMUR;3
CMXBENOWO-CMXCISALAK SUBANG;JAWA BARAT;6
CMXBENOWO-CMXCISALAK SUBANG;JAWA BARAT;6
CMXBENOWO-CMXGEDANGAN;KOTA SURABAYA;2
CMXBENOWO-CMXGEDANGAN;KOTA SURABAYA;2
CMXBENOWO-CMXGEDANGAN;KOTA SURABAYA;2
CMXBENOWO-CMXGEDANGAN;KOTA SURABAYA;2
CMXBENOWO-CMXGEDANGAN;KOTA SURABAYA;2
CMXBENOWO-CMXGEKBRONG;JAWA BARAT;6
CMXBENOWO-CMXGEMPOL;KOTA SURABAYA;2
CMXBENOWO-CMXGEMPOL;KOTA SURABAYA;2
CMXBENOWO-CMXGEMPOL;KOTA SURABAYA;2
CMXBENOWO-CMXGUNUNG PUTRI;JABODETABEK;6
CMXBENOWO-CMXGUNUNG PUTRI;JABODETABEK;6
CMXBENOWO-CMXGUNUNG PUTRI;JABODETABEK;6
CMXBENOWO-CMXGUNUNG PUTRI;JABODETABEK;6
CMXBENOWO-CMXKARTASURA;JAWA TENGAH;5
CMXBENOWO-CMXKARTASURA;JAWA TENGAH;5
CMXBENOWO-CMXKARTASURA;JAWA TENGAH;5
CMXBENOWO-CMXKARTASURA;JAWA TENGAH;5
CMXBENOWO-CMXKERAMBITAN;BALI;5
CMXBENOWO-CMXKERAMBITAN;BALI;5
CMXBENOWO-CMXKERAMBITAN;BALI;5
CMXBENOWO-CMXNGORO;KOTA SURABAYA;2
CMXBENOWO-CMXNGORO;KOTA SURABAYA;2
CMXBENOWO-CMXNGORO;JAWA TIMUR;3
CMXBENOWO-CMXNGORO;JAWA TIMUR;3
CMXBENOWO-CMXNGORO;JAWA TIMUR;3
CMXBENOWO-CMXPANDAAN;KOTA SURABAYA;2
CMXBENOWO-CMXPANDAAN;KOTA SURABAYA;2
CMXBENOWO-CMXPANDAAN;KOTA SURABAYA;2
CMXBENOWO-CMXPANDAAN;KOTA SURABAYA;2
CMXBENOWO-CMXPANDAAN;KOTA SURABAYA;2
CMXBENOWO-CMXPANDAAN(BERLINA);KOTA SURABAYA;2
CMXBENOWO-CMXPOLANHARJO;JAWA TENGAH;5
CMXBENOWO-CMXPOLANHARJO;JAWA TENGAH;5
CMXBENOWO-CMXPOLANHARJO;JAWA TENGAH;5
CMXBENOWO-CMXPOLANHARJO;JAWA TENGAH;5
CMXBENOWO-CMXPOLANHARJO;JAWA TENGAH;5
CMXBENOWO-CMXPOLANHARJO;JAWA TENGAH;5
CMXBENOWO-CMXPOLANHARJO(PP);JAWA TENGAH;5
CMXBENOWO-CMXSUKOREJO;KOTA SURABAYA;2
CMXBENOWO-CMXSUKOREJO;KOTA SURABAYA;2
CMXBENOWO-CMXSUKOREJO;JAWA TENGAH;5
CMXBENOWO-CMXSUKOREJO;JAWA TENGAH;5
CMXBENOWO-CMXSUKOREJO;JAWA TENGAH;5
CMXBENOWO-CMXSUKOREJO PASURUAN;JAWA TIMUR;3
CMXBENOWO-CMXSUKOREJO PASURUAN;JAWA TIMUR;3
CMXBENOWO-CMXSUKOREJO PASURUAN;JAWA TIMUR;3
CMXBENOWO-CMXSUKOREJO PASURUAN;JAWA TIMUR;3
CMXKEBOMAS-CMXBATUJAJAR;JAWA BARAT;6
CMXKEBOMAS-CMXBATUJAJAR;JAWA BARAT;6
CMXKEBOMAS-CMXBEJI PASURUAN;KOTA SURABAYA;2
CMXKEBOMAS-CMXCISALAK SUBANG;JAWA BARAT;6
CMXKEBOMAS-CMXGEDANGAN;KOTA SURABAYA;2
CMXKEBOMAS-CMXGEDANGAN;JAWA TIMUR;3
CMXKEBOMAS-CMXGEMPOL;JAWA BARAT;6
CMXKEBOMAS-CMXKARTASURA;JAWA TENGAH;5
CMXKEBOMAS-CMXNGORO;JAWA TIMUR;3
CMXKEBOMAS-CMXNGORO;JAWA TIMUR;3
CMXKEBOMAS-CMXPOLANHARJO;JAWA TENGAH;5
CMXKEBOMAS-CMXPOLANHARJO;JAWA TENGAH;5
CMXKEBOMAS-CMXPOLANHARJO;JAWA TENGAH;5
CMXKEBOMAS-CMXPOLANHARJO;JAWA TENGAH;5
CMXKEBOMAS-CMXPOLANHARJO;JAWA TENGAH;5
CMXKEBOMAS-CMXPOLANHARJO;JAWA TENGAH;5
CMXKEBOMAS-CMXPOLANHARJO;JAWA TENGAH;5
CMXKEBOMAS-CMXPOLANHARJO;JAWA TENGAH;5
CMXKEBOMAS-CMXPOLANHARJO;JAWA TENGAH;5
CMXKEBOMAS-CMXPOLANHARJO(PP);JAWA TENGAH;5
CMXKEBOMAS-CMXSUKOREJO PASURUAN;KOTA SURABAYA;2
CMXKEBOMAS-CMXSUKOREJO PASURUAN;KOTA SURABAYA;2
CMXKEBOMAS-CMXSUKOREJO PASURUAN;KOTA SURABAYA;2
CMXKEBOMAS-CMXSUKOREJO PASURUAN;KOTA SURABAYA;2
CMXNGORO-CMXBENOWO;KOTA SURABAYA;2
CMXNGORO-CMXPOLANHARJO;JAWA TENGAH;5
CMXNGORO-CMXPOLANHARJO;JAWA TENGAH;5
CMXNGORO-CMXPOLANHARJO;JAWA TENGAH;5
CMXNGORO-CMXPOLANHARJO;JAWA TENGAH;5
CMXNGORO-CMXPOLANHARJO;JAWA TENGAH;5
CMXNGORO-CMXPOLANHARJO;JAWA TENGAH;5
CMXPABEAN CANTIAN-CMXABIANSEMAL;BALI;5
CMXPABEAN CANTIAN-CMXABIANSEMAL;BALI;5
CMXPABEAN CANTIAN-CMXBENOWO;KOTA SURABAYA;2
CMXPABEAN CANTIAN-CMXBENOWO;KOTA SURABAYA;2
CMXPABEAN CANTIAN-CMXBENOWO;KOTA SURABAYA;2
CMXPABEAN CANTIAN-CMXKEBOMAS;KOTA SURABAYA;2
CMXPABEAN CANTIAN-CMXKEBOMAS;KOTA SURABAYA;2
CMXPABEAN CANTIAN-CMXKEBOMAS;JAWA TIMUR;3
CMXPABEAN CANTIAN-CMXPOLANHARJO;JAWA TENGAH;5
CMXPANDAAN-CMXBENOWO;KOTA SURABAYA;2
CMXPANDAAN-CMXBENOWO;KOTA SURABAYA;2
CMXPANDAAN-CMXBENOWO;KOTA SURABAYA;2
CMXPANDAAN-CMXBENOWO;KOTA SURABAYA;2
CMXPANDAAN-CMXGEKBRONG;JAWA BARAT;6
CMXPANDAAN-CMXSEDATI;KOTA SURABAYA;2
CMXPANDAAN-CMXSEDATI;KOTA SURABAYA;2
CMXPANDAAN-CMXSEDATI;JAWA TIMUR;3
CMXSUKOREJO PASURUAN-CMXBENOWO;JAWA TIMUR;3
CRPASEMROWO-CRPDAYEUHKOLOT;JAWA BARAT;6
CSMRUNGKUT-CSMBENOWO;KOTA SURABAYA;2
CSMRUNGKUT-CSMBENOWO;KOTA SURABAYA;2
CSMRUNGKUT-CSMBENOWO;KOTA SURABAYA;2
CSMRUNGKUT-CSMPABEAN CANTIAN;KOTA SURABAYA;2
CSMRUNGKUT-CSMPABEAN CANTIAN;KOTA SURABAYA;2
CSMRUNGKUT-CSMPABEAN CANTIAN;KOTA SURABAYA;2
CSOASEMROWO-CSOASEMROWO;JAWA TIMUR;3
CSOASEMROWO-CSOBENOWO;KOTA SURABAYA;2
CSOASEMROWO-CSOGRESIK;KOTA SURABAYA;2
CSOASEMROWO-CSOGUBENG;JAWA TIMUR;3
CSOASEMROWO-CSOKEBOMAS;KOTA SURABAYA;2
CSOASEMROWO-CSOKEBOMAS;KOTA SURABAYA;2
CSOBANJARANGKAN-CSOKEBOMAS(PRB);KOTA SURABAYA;2
CSOBENOWO-CSOGRESIK;KOTA SURABAYA;2
CSOBENOWO-CSOKEBOMAS;KOTA SURABAYA;2
CSOBENOWO-CSONGORO;KOTA SURABAYA;2
CSOBENOWO-CSOPOLANHARJO;JAWA TENGAH;5
CSOBENOWO-CSOPOLANHARJO(1P);JAWA TENGAH;5
CSOBENOWO-CSOPOLANHARJO(BL);JAWA TENGAH;5
CSOCANDI-CSOGUBENG;JAWA TIMUR;3
CSOGRESIK-CSONGORO;KOTA SURABAYA;2
CSOGRESIK-CSOPOLANHARJO(1P);JAWA TENGAH;5
CSOGRESIK-CSOPOLANHARJO(BL);JAWA TENGAH;5
CSORUNGKUT-CSOCIBITUNG;JABODETABEK;6
CSORUNGKUT-CSOCIBITUNG(VN);JABODETABEK;6
CSORUNGKUT-CSOKEBOMAS;JAWA TIMUR;3
CSOSIDOARJO-CSOGRESIK;KOTA SURABAYA;2
DITPANDAAN-DITCILEUNGSI;JABODETABEK;6
ECICANDI-ECISIDOARJO;KOTA SURABAYA;2
ECICANDI-ECISIDOARJO;KOTA SURABAYA;2
ECISIDOARJO-ECICANDI;KOTA SURABAYA;2
ECISIDOARJO-ECICANDI;KOTA SURABAYA;2
ECISIDOARJO-ECISIDOARJO;KOTA SURABAYA;2
ECISIDOARJO-ECISIDOARJO(BL);KOTA SURABAYA;2
ERPBEJI-ERPBENOWO;KOTA SURABAYA;2
ERPBENOWO-ERPCIKARANG UTARA;JABODETABEK;6
ERPJOMBANG-ERPCIBINONG;JABODETABEK;6
ERPPANDAAN-ERPBATUCEPER;JABODETABEK;6
ERPPANDAAN-ERPREGOL;JAWA BARAT;6
ERPSIDOARJO-ERPBATUCEPER;JABODETABEK;6
ETICANDI-ETIKEBOMAS;KOTA SURABAYA;2
ETIKEBOMAS-ETISIDOARJO;KOTA SURABAYA;2
ETIKEBOMAS-ETISIDOARJO;KOTA SURABAYA;2
ETIKEBOMAS-ETISIDOARJO;KOTA SURABAYA;2
ETIKEBOMAS-ETISIDOARJO;KOTA SURABAYA;2
ETIKEBOMAS-ETISIDOARJO;KOTA SURABAYA;2
ETIKEBOMAS-ETISIDOARJO;KOTA SURABAYA;2
ETIKEBOMAS-ETISIDOARJO;KOTA SURABAYA;2
ETIKEBOMAS-ETISIDOARJO;KOTA SURABAYA;2
ETISIDOARJO-ETIKEBOMAS(BL);KOTA SURABAYA;2
ETISIDOARJO-ETIKEBOMAS(BL);KOTA SURABAYA;2
ETISIDOARJO-ETIKEBOMAS(BL);KOTA SURABAYA;2
EXIM_AIDASEMROWO-EXIM_AIDASEMROWO;JAWA TIMUR;3
EXIM_AIDASEMROWO-EXIM_AIDASEMROWO;KOTA SURABAYA;2
EXIM_AIDASEMROWO-EXIM_AIDASEMROWO;KOTA SURABAYA;2
EXIM_AIDASEMROWO-EXIM_AIDBENOWO;KOTA SURABAYA;2
EXIM_AIDASEMROWO-EXIM_AIDRUNGKUT;KOTA SURABAYA;2
EXIM_AIDBENOWO-EXIM_AIDASEMROWO;JAWA TIMUR;3
EXIM_AIDPABEAN CANTIAN-EXIM_AIDASEMROWO;JAWA TIMUR;3
EXIM_AIDPABEAN CANTIAN-EXIM_AIDASEMROWO;JAWA TIMUR;3
EXIM_AIDPABEAN CANTIAN-EXIM_AIDASEMROWO;JAWA TIMUR;3
EXIM_AIDPABEAN CANTIAN-EXIM_AIDASEMROWO;KOTA SURABAYA;2
EXIM_AIDPABEAN CANTIAN-EXIM_AIDSIDOARJO;KOTA SURABAYA;2
EXIM_AIDPABEAN CANTIAN-EXIM_AIDSIDOARJO;KOTA SURABAYA;2
